country,population
China,1440297825
India,1382345085
United States,331341050
Indonesia,274021604
Pakistan,221612785
Brazil,212821986
Nigeria,206984347
Bangladesh,164972348
Russia,145945524
Mexico,129166028
Japan,126407422
Ethiopia,115434444
Philippines,109830324
Egypt,	102659126
Vietnam,	97490013
DR Congo,	90003954
Turkey,	84495243
Iran,	84176929
Germany,	83830972
Thailand,	69830779
United Kingdom,	67948282
France,	65298930
Italy,	60446035
Tanzania,	60012400
South Africa,	59436725
Myanmar,	54473253
Kenya,	53968739
South Korea,	51276977
Colombia,	50976248